Song,Split,Start,End,Duration,Words,Lyric,has_lyrics
Voelund - Comfort Lives In Belief,Train,0.0,10.0,10.0,1,-,False
Voelund - Comfort Lives In Belief,Train,10.0,18.0,8.0,1,-,False
Voelund - Comfort Lives In Belief,Train,18.0,25.0,7.0,1,oh,True
Voelund - Comfort Lives In Belief,Train,25.0,34.0,9.0,11,hey gather 'round for the story gather around for the tale,True
Voelund - Comfort Lives In Belief,Train,34.0,41.0,7.0,10,you may bring your comrades forget about heaven and hell,True
Voelund - Comfort Lives In Belief,Train,43.0,49.0,6.0,1,oh,True
Voelund - Comfort Lives In Belief,Train,49.0,57.0,8.0,14,i'm not here to blame you your name is not the name i've called,True
Voelund - Comfort Lives In Belief,Train,57.0,64.0,7.0,15,i just want to tell you brother take the gospel with a grain of salt,True
Voelund - Comfort Lives In Belief,Train,64.0,71.0,7.0,11,the books all holy bibles constructed for a purpose you see,True
Voelund - Comfort Lives In Belief,Train,71.0,79.0,8.0,15,control works so much better baby when we see what they want us to see,True
Voelund - Comfort Lives In Belief,Train,79.0,86.0,7.0,16,we're born with ears we're born with eyes that you suppose makes a difference i life,True
Voelund - Comfort Lives In Belief,Train,86.0,94.0,8.0,14,there's a strong line between truth an lies that's what separates men from child,True
Voelund - Comfort Lives In Belief,Train,94.0,102.0,8.0,16,no i'm not here to blame you for your name is not the name i've called,True
Voelund - Comfort Lives In Belief,Train,102.0,110.0,8.0,15,i just want to tell you brother take the gospel with a grain of salt,True
Voelund - Comfort Lives In Belief,Train,110.0,117.0,7.0,11,the books all holy bibles constructed for a purpose you see,True
Voelund - Comfort Lives In Belief,Train,117.0,126.0,9.0,15,control works so much better baby when you see what they want us to see,True
Voelund - Comfort Lives In Belief,Train,126.0,132.0,6.0,1,-,False
Voelund - Comfort Lives In Belief,Train,132.0,139.0,7.0,1,-,False
Voelund - Comfort Lives In Belief,Train,139.0,145.0,6.0,1,-,False
Voelund - Comfort Lives In Belief,Train,145.0,153.0,8.0,1,ah,True
Voelund - Comfort Lives In Belief,Train,155.0,162.0,7.0,1,ah,True
Voelund - Comfort Lives In Belief,Train,163.0,171.0,8.0,10,gather around for the story gather 'round for the tale,True
Voelund - Comfort Lives In Belief,Train,171.0,178.0,7.0,12,you may bring your camerads you may forget about heaven and hell,True
Voelund - Comfort Lives In Belief,Train,178.0,182.0,4.0,7,we're all in need of a story,True
Hezekiah Jones - Borrowed Heart,Train,0.0,9.0,9.0,21,he's coming in to put pressure on his men needs a bride with a borrowed heart boiled words from the koran,True
Hezekiah Jones - Borrowed Heart,Train,8.0,13.0,5.0,9,can you hold back the rhythms of my fist,True
Hezekiah Jones - Borrowed Heart,Train,13.0,19.0,6.0,15,hold me down i'll kick and spit deliver me a kiss and i say ohh,True
Hezekiah Jones - Borrowed Heart,Train,19.0,26.0,7.0,16,what if she hates me she might think i'm crazy she won't wanna be with me,True
Hezekiah Jones - Borrowed Heart,Train,26.0,37.0,11.0,14,oh what if she loves you been thinking of you wants you around anyway,True
Hezekiah Jones - Borrowed Heart,Train,39.0,44.0,5.0,11,put me back in the ground my rest has been disturbed,True
Hezekiah Jones - Borrowed Heart,Train,44.0,49.0,5.0,10,shouldn't be walking around out here shouldn't be mincing words,True
Hezekiah Jones - Borrowed Heart,Train,48.0,53.0,5.0,12,hold me up push me back i'm dying here of thirst my,True
Hezekiah Jones - Borrowed Heart,Train,52.0,59.0,7.0,17,my brain needs you like a ghost to relieve me of the worst and i say oh,True
Hezekiah Jones - Borrowed Heart,Train,59.0,66.0,7.0,17,what if she hates me she might think i'm crazy she won't wanna be with me you,True
