Song,Start,End,Duration,Lyric,Prediction,Lyric_clean,Prediction_clean,WER,CER,Words
A Classic Education - NightOwl,0.0,8.0,8.0,i think you're right i do, I think you're right I do,i think youre right i do,i think youre right i do,0.0,0.0,6
A Classic Education - NightOwl,8.0,18.0,10.0,only feel us or you, Only fear are you,only feel us or you,only fear are you,0.6,0.3684210526315789,5
A Classic Education - NightOwl,18.0,23.0,5.0,i know the reasons why, To protect all heavens and earth We will live on Earth��라라,i know the reasons why,to protect all heavens and earth we will live on earth라라,2.2,2.0454545454545454,5
A Classic Education - NightOwl,23.0,28.0,5.0,you crave more, Travemoore,you crave more,travemoore,1.0,0.5,3
A Classic Education - NightOwl,28.0,34.0,6.0,harder than one, I'm half of the mile,harder than one,im half of the mile,1.6666666666666667,0.8666666666666667,3
A Classic Education - NightOwl,34.0,43.0,9.0,you come up with none little did i think, You come up with my little dear I think,you come up with none little did i think,you come up with my little dear i think,0.2222222222222222,0.175,9
A Classic Education - NightOwl,43.0,51.0,8.0,night owl red night promise, That unailstomon los abieros...,night owl red night promise,that unailstomon los abieros,1.0,0.8888888888888888,5
A Classic Education - NightOwl,51.0,58.0,7.0,slashes of love, Staff shifts the world up meer,slashes of love,staff shifts the world up meer,2.0,1.4,3
A Classic Education - NightOwl,58.0,63.0,5.0,oh oh, Applause,oh oh,applause,1.0,1.6,2
A Classic Education - NightOwl,63.0,73.0,10.0,oh oh oh oh oh oh oh oh,,oh oh oh oh oh oh oh oh,,1.0,1.0,8
A Classic Education - NightOwl,73.0,80.0,7.0,oh oh,,oh oh,,1.0,1.0,2
A Classic Education - NightOwl,80.0,89.0,9.0,oh oh oh oh oh oh oh oh," I love you, I love you, I love you, I love you",oh oh oh oh oh oh oh oh,i love you i love you i love you i love you,1.5,1.2173913043478262,8
A Classic Education - NightOwl,89.0,99.0,10.0,ah ah oh," I'm a man, I'm a man, I'm a man",ah ah oh,im a man im a man im a man,3.0,2.75,3
A Classic Education - NightOwl,132.0,140.0,8.0,grant those stairs we see you and them, And throughout the six we see you in them,grant those stairs we see you and them,and throughout the six we see you in them,0.625,0.47368421052631576,8
A Classic Education - NightOwl,140.0,150.0,10.0,it's all lost and found burry me in the ground have no thoughts," It's all lost and found, where the earth and earth have no fine hearts.",its all lost and found burry me in the ground have no thoughts,its all lost and found where the earth and earth have no fine hearts,0.5384615384615384,0.43548387096774194,13
A Classic Education - NightOwl,150.0,158.0,8.0,don't you know it's all passages, Don't you know it's all passenger,dont you know its all passages,dont you know its all passenger,0.16666666666666666,0.1,6
A Classic Education - NightOwl,158.0,168.0,10.0,places that warning fits i'll come dig and beg yeah but all come around," Place down warning fence, I'll come digging back, never I'll come around",places that warning fits ill come dig and beg yeah but all come around,place down warning fence ill come digging back never ill come around,0.6428571428571429,0.32857142857142857,14
ANiMAL - Clinic A,9.0,20.0,11.0,ah welcome to the gates of dante's inferno a hate lasing wait for old time eternal demons with skim endings not forgiven across their pessimism with a verse of exorcism see the souls of the righteous, Welcome to the gates of that daisy fun away lazy way A whole time eternal we must have scheme and be used not to give in I crushed the pessimism with a bazas Sizzes in the souls of the biches,ah welcome to the gates of dantes inferno a hate lasing wait for old time eternal demons with skim endings not forgiven across their pessimism with a verse of exorcism see the souls of the righteous,welcome to the gates of that daisy fun away lazy way a whole time eternal we must have scheme and be used not to give in i crushed the pessimism with a bazas sizzes in the souls of the biches,0.75,0.43434343434343436,36
ANiMAL - Clinic A,20.0,26.0,6.0,march with preciseness a part is enlightened cause fear's for the frightened if my team you be liking if you we be fighting known,,march with preciseness a part is enlightened cause fears for the frightened if my team you be liking if you we be fighting known,,1.0,1.0,24
ANiMAL - Clinic A,26.0,35.0,9.0,to be striking like the force of the vikings as i step from the darkness one split blasting one hand carrying hates head in a basket my eyes half darkened by darth vader glasses,,to be striking like the force of the vikings as i step from the darkness one split blasting one hand carrying hates head in a basket my eyes half darkened by darth vader glasses,,1.0,1.0,34
ANiMAL - Clinic A,35.0,42.0,7.0,who ever ask it tell them it's de maquis i maintain my godless take aim the fathers and all this is done in the name of the fore fathers," who ever ask, get the damn license ofis, I'm going to new partnership making a promise, we'll visit them in them in the Waitalhoe Party",who ever ask it tell them its de maquis i maintain my godless take aim the fathers and all this is done in the name of the fore fathers,who ever ask get the damn license ofis im going to new partnership making a promise well visit them in them in the waitalhoe party,0.8275862068965517,0.6222222222222222,29
ANiMAL - Clinic A,42.0,49.0,7.0,i made a promise to push the papers margins i march like the spartans with today's artists we take aim, I need a promise to push the paper marching to Marshal Despawns with today's all his sins,i made a promise to push the papers margins i march like the spartans with todays artists we take aim,i need a promise to push the paper marching to marshal despawns with todays all his sins,0.6,0.36633663366336633,20
ANiMAL - Clinic A,49.0,57.0,8.0,and haters have to run away with their head in shame cause we're not afraid, And ages have to run away With their head and chain Those do not afraid,and haters have to run away with their head in shame cause were not afraid,and ages have to run away with their head and chain those do not afraid,0.3333333333333333,0.20270270270270271,15
ANiMAL - Clinic A,57.0,67.0,10.0,and we've got hate grenades we are the renegades straight out of clinic a i got my nine inch free for i'm a nice inch speaker," We are the way the gates, straight out of plain and plain I've got my 9-inch, we've got M-9 in speaker",and weve got hate grenades we are the renegades straight out of clinic a i got my nine inch free for im a nice inch speaker,we are the way the gates straight out of plain and plain ive got my 9inch weve got m9 in speaker,0.7692307692307693,0.4878048780487805,26
ANiMAL - Clinic A,67.0,74.0,7.0,my nine in speaker my nine inch speaker my nine grants a path for my friends to get sweeter my friends to get sweeter my friends to get," My nine, my nine, my nine, my nine, my nine, my nine, The rats are puffin' for my friends, they get sweeter, My friends, they get sweeter, my friends, they get it.",my nine in speaker my nine inch speaker my nine grants a path for my friends to get sweeter my friends to get sweeter my friends to get,my nine my nine my nine my nine my nine my nine the rats are puffin for my friends they get sweeter my friends they get sweeter my friends they get it,0.5,0.3333333333333333,28
ANiMAL - Clinic A,74.0,82.0,8.0,ho jurassic like old school you see me as a cave man grinding on boats cause we've built this city on rock and roll,,ho jurassic like old school you see me as a cave man grinding on boats cause weve built this city on rock and roll,,1.0,1.0,24
ANiMAL - Clinic A,82.0,93.0,11.0,the parkers would travel the four corners of the world just to reach her for nonish now is the case one is a teacher to jump fit states in station her pockets getting paid having bent her on the bus and while the group was getting laid but," The pockets will travel to four coolers of the world just to reach her. For now, it's now the cares one of the teachers who jump to states and states Your and the pockets get impaled and have been bent over on the buzzer mother Remember, it's getting late for you. Come on.",the parkers would travel the four corners of the world just to reach her for nonish now is the case one is a teacher to jump fit states in station her pockets getting paid having bent her on the bus and while the group was getting laid but,the pockets will travel to four coolers of the world just to reach her for now its now the cares one of the teachers who jump to states and states your and the pockets get impaled and have been bent over on the buzzer mother remember its getting late for you come on,0.7083333333333334,0.401673640167364,48
