Song,Split,Start,End,Duration,Words,Lyric
Voelund - Comfort Lives In Belief,Train,0.0,10.0,10.0,1,-
Voelund - Comfort Lives In Belief,Train,10.0,18.0,8.0,1,-
Voelund - Comfort Lives In Belief,Train,18.0,25.0,7.0,1,oh
Voelund - Comfort Lives In Belief,Train,25.0,34.0,9.0,11,hey gather 'round for the story gather around for the tale
Voelund - Comfort Lives In Belief,Train,34.0,41.0,7.0,10,you may bring your comrades forget about heaven and hell
Voelund - Comfort Lives In Belief,Train,43.0,49.0,6.0,1,oh
Voelund - Comfort Lives In Belief,Train,49.0,57.0,8.0,14,i'm not here to blame you your name is not the name i've called
Voelund - Comfort Lives In Belief,Train,57.0,64.0,7.0,15,i just want to tell you brother take the gospel with a grain of salt
Voelund - Comfort Lives In Belief,Train,64.0,71.0,7.0,11,the books all holy bibles constructed for a purpose you see
Voelund - Comfort Lives In Belief,Train,71.0,79.0,8.0,15,control works so much better baby when we see what they want us to see
Voelund - Comfort Lives In Belief,Train,79.0,86.0,7.0,16,we're born with ears we're born with eyes that you suppose makes a difference i life
Voelund - Comfort Lives In Belief,Train,86.0,94.0,8.0,14,there's a strong line between truth an lies that's what separates men from child
Voelund - Comfort Lives In Belief,Train,94.0,102.0,8.0,16,no i'm not here to blame you for your name is not the name i've called
Voelund - Comfort Lives In Belief,Train,102.0,110.0,8.0,15,i just want to tell you brother take the gospel with a grain of salt
Voelund - Comfort Lives In Belief,Train,110.0,117.0,7.0,11,the books all holy bibles constructed for a purpose you see
Voelund - Comfort Lives In Belief,Train,117.0,126.0,9.0,15,control works so much better baby when you see what they want us to see
Voelund - Comfort Lives In Belief,Train,126.0,132.0,6.0,1,-
Voelund - Comfort Lives In Belief,Train,132.0,139.0,7.0,1,-
Voelund - Comfort Lives In Belief,Train,139.0,145.0,6.0,1,-
Voelund - Comfort Lives In Belief,Train,145.0,153.0,8.0,1,ah
Voelund - Comfort Lives In Belief,Train,155.0,162.0,7.0,1,ah
Voelund - Comfort Lives In Belief,Train,163.0,171.0,8.0,10,gather around for the story gather 'round for the tale
Voelund - Comfort Lives In Belief,Train,171.0,178.0,7.0,12,you may bring your camerads you may forget about heaven and hell
Voelund - Comfort Lives In Belief,Train,178.0,182.0,4.0,7,we're all in need of a story
Hezekiah Jones - Borrowed Heart,Train,0.0,9.0,9.0,21,he's coming in to put pressure on his men needs a bride with a borrowed heart boiled words from the koran
Hezekiah Jones - Borrowed Heart,Train,8.0,13.0,5.0,9,can you hold back the rhythms of my fist
Hezekiah Jones - Borrowed Heart,Train,13.0,19.0,6.0,15,hold me down i'll kick and spit deliver me a kiss and i say ohh
Hezekiah Jones - Borrowed Heart,Train,19.0,26.0,7.0,16,what if she hates me she might think i'm crazy she won't wanna be with me
Hezekiah Jones - Borrowed Heart,Train,26.0,37.0,11.0,14,oh what if she loves you been thinking of you wants you around anyway
Hezekiah Jones - Borrowed Heart,Train,39.0,44.0,5.0,11,put me back in the ground my rest has been disturbed
Hezekiah Jones - Borrowed Heart,Train,44.0,49.0,5.0,10,shouldn't be walking around out here shouldn't be mincing words
Hezekiah Jones - Borrowed Heart,Train,48.0,53.0,5.0,12,hold me up push me back i'm dying here of thirst my
Hezekiah Jones - Borrowed Heart,Train,52.0,59.0,7.0,17,my brain needs you like a ghost to relieve me of the worst and i say oh
Hezekiah Jones - Borrowed Heart,Train,59.0,66.0,7.0,17,what if she hates me she might think i'm crazy she won't wanna be with me you
Hezekiah Jones - Borrowed Heart,Train,65.0,76.0,11.0,19,me you say oh what if she loves you she might be thinking of you wants you around anyway
Hezekiah Jones - Borrowed Heart,Train,77.0,86.0,9.0,8,wants you around anyway wants you around anyway
Hezekiah Jones - Borrowed Heart,Train,88.0,97.0,9.0,2,oh oh
Hezekiah Jones - Borrowed Heart,Train,97.0,102.0,5.0,2,oh oh
Hezekiah Jones - Borrowed Heart,Train,102.0,110.0,8.0,4,oh oh oh oh
Hezekiah Jones - Borrowed Heart,Train,110.0,119.0,9.0,5,oh oh oh oh oh
Hezekiah Jones - Borrowed Heart,Train,119.0,124.0,5.0,2,oh oh
Hezekiah Jones - Borrowed Heart,Train,124.0,135.0,11.0,4,oh oh oh oh
Hezekiah Jones - Borrowed Heart,Train,135.0,143.0,8.0,1,-
Hezekiah Jones - Borrowed Heart,Train,143.0,149.0,6.0,1,-
Hezekiah Jones - Borrowed Heart,Train,149.0,156.0,7.0,1,-
Hezekiah Jones - Borrowed Heart,Train,156.0,166.0,10.0,1,-
Hezekiah Jones - Borrowed Heart,Train,165.0,172.0,7.0,1,-
Hezekiah Jones - Borrowed Heart,Train,172.0,177.0,5.0,11,wake her up just to dig into her chest keep her
Hezekiah Jones - Borrowed Heart,Train,176.0,181.0,5.0,11,keep her from the dirt with another's heart inside her breast
Hezekiah Jones - Borrowed Heart,Train,181.0,186.0,5.0,14,and if love ain't born inside that heart would i give up on the
Hezekiah Jones - Borrowed Heart,Train,186.0,191.0,5.0,10,character keep up with the part and i say oh
Hezekiah Jones - Borrowed Heart,Train,191.0,198.0,7.0,16,what if she hates me she might think i'm crazy she won't wanna be with me
Hezekiah Jones - Borrowed Heart,Train,197.0,205.0,8.0,14,me say oh what if she loves you she might be thinking of you
Hezekiah Jones - Borrowed Heart,Train,204.0,209.0,5.0,6,of you wants you around anyway
Hezekiah Jones - Borrowed Heart,Train,209.0,216.0,7.0,18,what if she hates me she might think i'm crazy she won't wanna be with me you say
Hezekiah Jones - Borrowed Heart,Train,215.0,223.0,8.0,13,you say oh what if she loves you been thinking of you wants
Hezekiah Jones - Borrowed Heart,Train,222.0,226.0,4.0,4,wants you around anyway
Hezekiah Jones - Borrowed Heart,Train,226.0,231.0,5.0,4,wants you around anyway
Hezekiah Jones - Borrowed Heart,Train,230.0,240.0,10.0,8,wants you around anyway wants you around anyway
Strand Of Oaks - Spacestation,Train,0.0,10.0,10.0,1,-
Strand Of Oaks - Spacestation,Train,10.0,15.0,5.0,1,-
Strand Of Oaks - Spacestation,Train,15.0,21.0,6.0,1,-
Strand Of Oaks - Spacestation,Train,21.0,30.0,9.0,6,welcome to my new space station
Strand Of Oaks - Spacestation,Train,32.0,42.0,10.0,10,stay as long as you like it's a sad vocation
Strand Of Oaks - Spacestation,Train,42.0,49.0,7.0,9,and you leave me standing alone on the earth
Strand Of Oaks - Spacestation,Train,49.0,55.0,6.0,7,i realize that it just won't work
